_id,Forward_Sortation_Area,Name_of_Dog,Breed,Color,Ward_Number,Ward_Name,Bite_Circumstance,Location_of_Incident,Date_of_Dangerous_Act
192,M4X,PEACHES,AM PIT BULL TER / LABRADOR RETR,TAN / WHITE,13,Toronto Centre,SEVERE,PARK - LEASH FREE AREA,2022-08-22
193,M2J,FUGUI,ENG BULLDOG,TRICOLOUR / WHITE,17,Don Valley North,NOT A BITE,OTHER PRIVATE PROPERTY,2022-08-25
194,M1V,SATCHEL,SC WHEAT TERR,CREAM,23,Scarborough North,SEVERE,OTHER PRIVATE PROPERTY,2022-08-28
195,M1S,BENTLEY,OLDENG SHEEPDOG / POODLE STND,BLACK / WHITE,22,Scarborough-Agincourt,SEVERE,OTHER PRIVATE PROPERTY,2022-08-28
196,M1G,SABER,BORDER COLLIE / AUST CATTLE DOG,BLACK / WHITE,24,Scarborough-Guildwood,SEVERE,OWNERS PROPERTY,2022-08-29
197,M4M,SAM,SIBERIAN HUSKY MIX,WHITE / BLACK,14,Toronto-Danforth,SEVERE,PUBLIC PROPERTY,2022-09-04
198,M4M,FELIX,GERM SHEPHERD MIX,BLACK / TAN,14,Toronto-Danforth,SEVERE,PUBLIC PROPERTY,2022-09-04
199,M5V,STANLEY,ROTTWEILER / LABRADOR RETR,BROWN / BLACK,10,Spadina-Fort York,NON SEVERE,PARK - LEASH FREE AREA,2022-09-06
200,M3B,PEANUT,GOLDEN RETR / BASSET HOUND,TAN,16,Don Valley East,SEVERE,PUBLIC PROPERTY,2022-09-17
201,M4M,ESME,OLD ENG BULLDOG,WHITE / BLACK,14,Toronto-Danforth,SEVERE,PUBLIC PROPERTY,2022-09-17
202,M6S,ROMAN,BULLMASTIFF / PRESA CANARIO,FAWN,04,Parkdale-High Park,NON SEVERE,PUBLIC PROPERTY,2022-09-26
203,M4H,MAYA,AM PIT BULL TER / ENG BULLDOG,TAN / WHITE,15,Don Valley West,NON SEVERE,OTHER PRIVATE PROPERTY,2022-10-01
204,M6M,FRANKLIN,POODLE STND,BR BRINDLE,05,York South-Weston,SEVERE,PUBLIC PROPERTY,2022-10-05
205,M4C,DICE,AMER BULLDOG MIX,BLACK / WHITE,19,Beaches-East York,SEVERE,PUBLIC PROPERTY,2022-10-12
206,M5T,BELLA,ROTTWEILER / GERM SHEPHERD,BROWN / RED,10,Spadina-Fort York,NOT A BITE,OTHER PRIVATE PROPERTY,2022-10-18
207,M2L,ARCHIE,GERM SHEPHERD,BLACK / GOLD,15,Don Valley West,SEVERE,PUBLIC PROPERTY,2022-10-20
208,M3N,BONNIE,AM PIT BULL TER / ENG BULLDOG,GREY / WHITE,07,Humber River-Black Creek,SEVERE,PARK - LEASH REQUIRED AREA,2022-10-20
209,M9P,MAGNOLIA,ROTTWEILER / GERM SHEPHERD,BLACK / WHITE,01,Etobicoke North,SEVERE,OTHER PRIVATE PROPERTY,2022-10-23
210,M6B,HENNESSY,BOXER / MASTIFF,BROWN / WHITE,08,Eglinton-Lawrence,NON SEVERE,PUBLIC PROPERTY,2022-10-23
211,M2J,RICK,GERM SHEPHERD,BLACK / BROWN,17,Don Valley North,NOT A BITE,OTHER PRIVATE PROPERTY,2022-10-25
212,M1E,XENA,PRESA CANARIO,TAN / BLACK,24,Scarborough-Guildwood,SEVERE,PUBLIC PROPERTY,2022-10-25
213,M2N,BACON,GERM SHEPHERD,TAN / BLACK,18,Willowdale,SEVERE,PUBLIC PROPERTY,2022-10-31
214,M8W,TIBERIUS,ROTTWEILER,BLACK / TAN,03,Etobicoke-Lakeshore,SEVERE,PUBLIC PROPERTY,2022-11-06
215,M1T,KILO,AM PIT BULL TER / ENG BULLDOG,GREY / WHITE,22,Scarborough-Agincourt,NON SEVERE,OTHER PRIVATE PROPERTY,2022-11-08
216,M3M,QUEENIE,AM PIT BULL TER / ENG BULLDOG,TAN,06,York Centre,NON SEVERE,PUBLIC PROPERTY,2022-12-04
217,M2J,DIESEL,GERM SHEPHERD,BLACK / TAN,17,Don Valley North,NON SEVERE,PARK - LEASH REQUIRED AREA,2022-12-06
218,M1W,JACK,CANE CORSO,BLACK / WHITE,22,Scarborough-Agincourt,SEVERE,PUBLIC PROPERTY,2022-12-11
219,M4L,SAM,LABRADOR RETR,FAWN,14,Toronto-Danforth,SEVERE,PUBLIC PROPERTY,2022-12-22
220,M6M,LAILA,CANE CORSO / GOLDEN RETR,BLACK,05,York South-Weston,SEVERE,OTHER PRIVATE PROPERTY,2023-01-05
221,M6J,MABEL,HOUND / BEAGLE,WHITE / BLACK,11,University-Rosedale,SEVERE,PARK - LEASH REQUIRED AREA,2023-01-12
222,M4L,RIVER,SPINONE ITAL,CREAM,19,Beaches-East York,SEVERE,PARK - LEASH REQUIRED AREA,2023-01-17
223,M1H,MOLLY,GERM SHEPHERD MIX,BLACK / TAN,24,Scarborough-Guildwood,SEVERE,PUBLIC PROPERTY,2023-02-20
224,M4K,BISHOP,GERM SH POINT,BROWN / WHITE,14,Toronto-Danforth,VERY SEVERE,PUBLIC PROPERTY,2023-02-21
225,M5A,BONNIE,AMER BULLDOG,BROWN / WHITE,13,Toronto Centre,SEVERE,OTHER PRIVATE PROPERTY,2023-02-22
226,M1M,PRINCE,AMER BULLDOG,WHITE / BROWN,20,Scarborough Southwest,SEVERE,OTHER PRIVATE PROPERTY,2023-03-09
227,M3C,PYRO,ROTTWEILER / GERM SHEPHERD,BLACK / TAN,16,Don Valley East,SEVERE,OTHER PRIVATE PROPERTY,2023-03-27
228,M4P,CHARLES,GREAT PYRENEES / GOLDEN RETR,WHITE,12,Toronto-St. Paul's,NON SEVERE,PUBLIC PROPERTY,2023-03-31
229,M2K,GHOST,GERM SHEPHERD,BLACK,17,Don Valley North,SEVERE,PUBLIC PROPERTY,2023-04-08
230,M4C,CALLIE,BULLMASTIFF,BLACK / WHITE,19,Beaches-East York,NON SEVERE,PUBLIC PROPERTY,2023-04-13
231,M1J,MOOSE,CANE CORSO,TAN / GREY,21,Scarborough Centre,NOT A BITE,PUBLIC PROPERTY,2023-04-16
232,M3J,TYSON,AMER BULLDOG,BLACK / WHITE,06,York Centre,NOT A BITE,PUBLIC PROPERTY,2023-04-20
233,M3J,ROMMEL,GERM SHEPHERD,BROWN / BLACK,07,Humber River-Black Creek,SEVERE,OTHER PRIVATE PROPERTY,2023-04-23
234,M5M,HARLEY,AMER BULLDOG,BR BRINDLE,08,Eglinton-Lawrence,NON SEVERE,PUBLIC PROPERTY,2023-04-27
235,M6P,SHIKA,PATTERDALE TERR / AM PIT BULL TER,BLUE / GREY,04,Parkdale-High Park,SEVERE,PUBLIC PROPERTY,2023-04-28
236,M3L,BEAR,BORDER COLLIE / LABRADOR RETR,BLACK / WHITE,07,Humber River-Black Creek,NON SEVERE,OTHER PRIVATE PROPERTY,2023-05-01
237,M9A,TRIXIE,LABRADOR RETR / AM PIT BULL TER,BLACK / BR BRINDLE,02,Etobicoke Centre,SEVERE,OTHER PRIVATE PROPERTY,2023-05-02
238,M9A,TYSON,LABRADOR RETR / AM PIT BULL TER,BLACK,02,Etobicoke Centre,SEVERE,OTHER PRIVATE PROPERTY,2023-05-02
239,M5T,ZEPPELIN,GERM SHEPHERD,BLACK / TAN,11,University-Rosedale,NON SEVERE,OTHER PRIVATE PROPERTY,2023-05-09
240,M4L,DAISY,GERM SHEPHERD / LABRADOR RETR,BLACK / TAN,19,Beaches-East York,SEVERE,PARK - LEASH REQUIRED AREA,2023-05-11
241,M4J,LADY,GOLDEN RETR / POODLE STND,WHITE,14,Toronto-Danforth,SEVERE,PUBLIC PROPERTY,2023-05-14
242,M9R,TIA,AMER BULLDOG,BLACK / WHITE,01,Etobicoke North,SEVERE,OTHER PRIVATE PROPERTY,2023-05-23
243,M1K,BEAR,GERM SHEPHERD MIX,TAN / WHITE,20,Scarborough Southwest,SEVERE,PUBLIC PROPERTY,2023-06-04
244,M1W,LUNA,FILA,BR BRINDLE / WHITE,22,Scarborough-Agincourt,NOT A BITE,PUBLIC PROPERTY,2023-06-06
245,M3J,NALA,AMER BULLDOG,BEIGE / WHITE,06,York Centre,NON SEVERE,PUBLIC PROPERTY,2023-06-14
246,M4J,FRIDA,AUST SHEPHERD,TRICOLOUR,14,Toronto-Danforth,NON SEVERE,PARK - LEASH REQUIRED AREA,2023-06-18
247,M6B,TYSON,POODLE STND / GOLDEN RETR,TAN,08,Eglinton-Lawrence,SEVERE,PUBLIC PROPERTY,2023-06-21
248,M4S,GIGI,AM PIT BULL TER / LABRADOR RETR,TRICOLOUR,12,Toronto-St. Paul's,SEVERE,PUBLIC PROPERTY,2023-06-23
249,M1R,HERCEG,MASTIFF,TAN / BLACK,21,Scarborough Centre,SEVERE,OTHER PRIVATE PROPERTY,2023-06-25
250,M6H,VENTURE,GOLDEN RETR,GOLD,09,Davenport,SEVERE,PUBLIC PROPERTY,2023-06-25
251,M1G,MAZIKEEN,LABRADOR RETR / AMER BULLDOG,BLACK,24,Scarborough-Guildwood,SEVERE,PUBLIC PROPERTY,2023-06-28
252,M1G,REIGN,BELG MALINOIS / DUTCH SHEPHERD,BROWN / TAN,24,Scarborough-Guildwood,SEVERE,PUBLIC PROPERTY,2023-06-28
253,M1G,CHARLIE,SIBERIAN HUSKY MIX,BR BRINDLE / WHITE,24,Scarborough-Guildwood,SEVERE,PUBLIC PROPERTY,2023-06-28
254,M6G,MAX,BULLDOG MIX,BLACK / WHITE,12,Toronto-St. Paul's,SEVERE,PARK - LEASH REQUIRED AREA,2023-06-29
255,M3A,FREYJA,AMER BULLDOG MIX,FAWN,16,Don Valley East,VERY SEVERE,OTHER PRIVATE PROPERTY,2023-06-29
256,M3A,ODIN,PRESA CANARIO,BL BRINDLE,16,Don Valley East,VERY SEVERE,OTHER PRIVATE PROPERTY,2023-06-29
257,M1M,COLD AS ICE (ARTIC),LABRADOR RETR,BLACK / WHITE,20,Scarborough Southwest,SEVERE,PARK - LEASH REQUIRED AREA,2023-06-30
258,M9C,LUCIFER,ENG BULLDOG / AM PIT BULL TER,FAWN / WHITE,02,Etobicoke Centre,NOT A BITE,PARK - LEASH REQUIRED AREA,2023-07-03
259,M3A,ARCHIE,PRESA CANARIO,BR BRINDLE / WHITE,16,Don Valley East,SEVERE,OTHER PRIVATE PROPERTY,2023-07-04
260,M1N,ZORRO,GERM SHEPHERD,BLACK / BROWN,20,Scarborough Southwest,NON SEVERE,PUBLIC PROPERTY,2023-07-07
261,M8W,KUSH,CANE CORSO,BLACK / BL BRINDLE,03,Etobicoke-Lakeshore,NON SEVERE,OTHER PRIVATE PROPERTY,2023-07-07
262,M1C,JADE,BOXER,TAN / WHITE,25,Scarborough-Rouge Park,NOT A BITE,PARK - LEASH REQUIRED AREA,2023-07-10
263,M4K,DRACO,ROTTWEILER / GERM SHEPHERD,BLACK / BROWN,14,Toronto-Danforth,NON SEVERE,PUBLIC PROPERTY,2023-07-18
264,M2M,HEICHU,BORDER COLLIE,BLACK / WHITE,18,Willowdale,NOT A BITE,OTHER PRIVATE PROPERTY,2023-07-18
265,M4K,REMY,ROTTWEILER MIX,BLACK,14,Toronto-Danforth,NON SEVERE,PUBLIC PROPERTY,2023-07-18
266,M1L,ATHENA,MASTIFF / ROTTWEILER,BROWN / WHITE,20,Scarborough Southwest,NOT A BITE,PUBLIC PROPERTY,2023-07-25
267,M6S,TILDA,BULL TERRIER,BR BRINDLE / WHITE,04,Parkdale-High Park,SEVERE,PARK - LEASH REQUIRED AREA,2023-07-30
268,M6R,HENRY,LABRADOR RETR / JINDO,TAN,04,Parkdale-High Park,SEVERE,PUBLIC PROPERTY,2023-08-01
269,M6E,PRINCE,LABRADOR RETR / RHOD RIDGEBACK,APRICOT / BLACK,09,Davenport,SEVERE,PARK - LEASH FREE AREA,2017-02-21
270,M1S,COOKIE,AMER BULLDOG / CHOW CHOW,BR BRINDLE,23,Scarborough North,VERY SEVERE,PARK - LEASH REQUIRED AREA,2023-08-02
271,M1S,ZEUS,AMER BULLDOG / CHOW CHOW,BLACK,23,Scarborough North,SEVERE,PARK - LEASH REQUIRED AREA,2023-08-02
272,M1E,RAGZ,BERNESE MTN DOG / POODLE STND,BLACK / WHITE,25,Scarborough-Rouge Park,SEVERE,PUBLIC PROPERTY,2023-08-12
273,M4J,OAKLEY,REDBONE HOUND,RED,14,Toronto-Danforth,NON SEVERE,PUBLIC PROPERTY,2023-08-14
274,M5S,LOKI,GOLDEN RETR / POODLE TOY,BLACK,11,University-Rosedale,NOT A BITE,PUBLIC PROPERTY,2023-08-16
275,M3C,ARCHIE,AMER BULLDOG / MASTIFF,GREY,16,Don Valley East,VERY SEVERE,OTHER PRIVATE PROPERTY,2023-08-20
276,M6C,MONTY,POODLE STND / BELG MALINOIS,BLACK,09,Davenport,SEVERE,PUBLIC PROPERTY,2023-08-28
277,M3H,NALA,LABRADOR RETR,BLACK,06,York Centre,SEVERE,PARK - LEASH REQUIRED AREA,2023-09-01
278,M1E,LEVI,GERM SHEPHERD / SIBERIAN HUSKY,BLACK / WHITE,24,Scarborough-Guildwood,NOT A BITE,PUBLIC PROPERTY,2023-09-01
279,M1L,MOTTO,AMER BULLDOG MIX,GREY / WHITE,20,Scarborough Southwest,SEVERE,PUBLIC PROPERTY,2023-09-04
280,M8W,PHOENIX,MASTIFF MIX,TAN,03,Etobicoke-Lakeshore,NON SEVERE,PUBLIC PROPERTY,2023-09-07
281,M6G,MANDO,AUST SHEPHERD,BROWN / WHITE,12,Toronto-St. Paul's,SEVERE,OTHER PRIVATE PROPERTY,2023-09-10
282,M1M,SIMBA,GOLDEN RETR,GOLD,20,Scarborough Southwest,SEVERE,PUBLIC PROPERTY,2023-09-10
283,M8W,NALA,AMER BULLDOG MIX,BR BRINDLE / WHITE,03,Etobicoke-Lakeshore,SEVERE,OTHER PRIVATE PROPERTY,2023-09-16
284,M6M,ICE,AMER BULLDOG / CHINESE SHARPEI,BROWN / WHITE,05,York South-Weston,NON SEVERE,OTHER PRIVATE PROPERTY,2023-09-16
285,M5P,DOJI,AUST CATTLE DOG / ROTTWEILER,RED / TAN,12,Toronto-St. Paul's,SEVERE,PUBLIC PROPERTY,2023-09-26
286,M3A,ASYA,SIBERIAN HUSKY,BROWN / WHITE,16,Don Valley East,SEVERE,PUBLIC PROPERTY,2023-10-03
287,M9C,NAIROBI,AMER BULLDOG,WHITE / TAN,02,Etobicoke Centre,SEVERE,PUBLIC PROPERTY,2023-10-07
288,M1E,LUNA,GERM SHEPHERD / LABRADOR RETR,BLACK,24,Scarborough-Guildwood,SEVERE,OTHER PRIVATE PROPERTY,2023-10-09
289,M4S,GIGI,ALASKAN HUSKY,BLACK,12,Toronto-St. Paul's,NON SEVERE,PUBLIC PROPERTY,2023-10-12
290,M9B,MAX,GOLDEN RETR,GOLD,02,Etobicoke Centre,NON SEVERE,OTHER PRIVATE PROPERTY,2023-10-13
291,M5R,TITAN,AMER BULLDOG / AMERICAN STAFF,GREY / WHITE,11,University-Rosedale,NON SEVERE,OTHER PRIVATE PROPERTY,2023-10-20
292,M5V,ARCHER,ROTTWEILER,BLACK / TAN,10,Spadina-Fort York,SEVERE,PARK - LEASH REQUIRED AREA,2023-10-27
293,M6M,LEO,PARSON RUSS TER / SHIH TZU,TAN,05,York South-Weston,NOT A BITE,PUBLIC PROPERTY,2023-10-29
294,M4C,WHEELER,LABRADOR RETR / BOXER,BLACK / WHITE,19,Beaches-East York,SEVERE,PUBLIC PROPERTY,2023-11-05
295,M1T,FASULA,LABRADOR RETR / AM PIT BULL TER,BROWN,22,Scarborough-Agincourt,NOT A BITE,PUBLIC PROPERTY,2023-11-07
296,M1K,EXO/AXEL,ROTTWEILER / LABRADOR RETR,BLACK / BROWN,20,Scarborough Southwest,NON SEVERE,PUBLIC PROPERTY,2023-11-15
297,M9R,LYRYX,GERM SHEPHERD,BLACK,01,Etobicoke North,SEVERE,OWNERS PROPERTY,2023-11-24
298,M6A,PENNY,GERM SHEPHERD / COLLIE SMOOTH,BLACK / BROWN,08,Eglinton-Lawrence,SEVERE,PUBLIC PROPERTY,2023-11-26
299,M3C,CHARLIE,LABRADOR RETR,TAN / WHITE,16,Don Valley East,NOT A BITE,PUBLIC PROPERTY,2023-11-26
300,M6J,GUNNAR,CANE CORSO MIX,FAWN,10,Spadina-Fort York,NON SEVERE,PARK - LEASH FREE AREA,2023-11-28
301,M3L,KYRO,BOXER / DOGO ARGENTINO,BR BRINDLE,07,Humber River-Black Creek,NOT A BITE,OTHER PRIVATE PROPERTY,2023-12-07
302,M9P,ROCCO,AM PIT BULL TER / ENG BULLDOG,TAN / WHITE,02,Etobicoke Centre,NON SEVERE,PUBLIC PROPERTY,2023-12-11
303,M4B,BIGGIE,SIBERIAN HUSKY MIX,BLACK / TRICOLOUR,19,Beaches-East York,SEVERE,PUBLIC PROPERTY,2023-12-15
304,M8Y,BRADY,ROTTWEILER,BLACK / BROWN,03,Etobicoke-Lakeshore,NOT A BITE,OTHER PRIVATE PROPERTY,2023-12-17
305,M2H,BENNY,AMER BULLDOG / STAFFORDSHIRE,BR BRINDLE,17,Don Valley North,SEVERE,OWNERS PROPERTY,2023-12-31
306,M4L,OBI WAN,ROTTWEILER,BLACK / BROWN,14,Toronto-Danforth,NON SEVERE,PUBLIC PROPERTY,2023-12-31
307,M9V,KOPA,ROTTWEILER,BLACK / TAN,01,Etobicoke North,SEVERE,OTHER PRIVATE PROPERTY,2024-01-09
308,M6G,LUCA,GOLDEN RETR / AM PIT BULL TER,GREY / WHITE,11,University-Rosedale,SEVERE,PUBLIC PROPERTY,2024-01-20
309,M6J,PHOENIX,ROTTWEILER,BLACK / TAN,09,Davenport,NON SEVERE,PUBLIC PROPERTY,2024-01-27
310,M5A,CALVIN,BORDER COLLIE,BROWN / WHITE,10,Spadina-Fort York,NON SEVERE,PUBLIC PROPERTY,2024-01-28
311,M4A,KOBE,BOXER / STAFFORDSHIRE,GOLD / WHITE,16,Don Valley East,SEVERE,OTHER PRIVATE PROPERTY,2024-02-03
312,M4A,LUCKY,LABRADOR RETR / STAFFORDSHIRE,BLACK / WHITE,16,Don Valley East,NON SEVERE,OTHER PRIVATE PROPERTY,2024-02-03
313,M1S,BLANCA,AMER BULLDOG / CHOW CHOW,WHITE / BROWN,23,Scarborough North,SEVERE,PARK - LEASH REQUIRED AREA,2023-08-02
314,M4S,BELLA,GERM SHEPHERD MIX,BROWN,12,Toronto-St. Paul's,NOT A BITE,PARK - LEASH REQUIRED AREA,2024-02-07
315,M9C,PENTHESILLA,MASTIFF,BLACK,02,Etobicoke Centre,SEVERE,PARK - LEASH REQUIRED AREA,2024-02-12
316,M5P,COOPER,BELG MALINOIS,BR BRINDLE,12,Toronto-St. Paul's,SEVERE,PARK - LEASH FREE AREA,2024-02-17
317,M4E,TITAN,AMER BULLDOG MIX,BEIGE / WHITE,19,Beaches-East York,SEVERE,OTHER PRIVATE PROPERTY,2024-02-20
318,M6J,CUBIK,SAMOYED,WHITE,10,Spadina-Fort York,NON SEVERE,PARK - LEASH REQUIRED AREA,2024-03-03
319,M4L,KING,AMER BULLDOG,WHITE,19,Beaches-East York,NOT A BITE,PUBLIC PROPERTY,2024-03-10
320,M4L,ROCKY,AMER BULLDOG / BOXER,BR BRINDLE,14,Toronto-Danforth,SEVERE,PUBLIC PROPERTY,2024-03-15
321,M9A,MOLLY,AMER BULLDOG,BLACK / GREY,02,Etobicoke Centre,SEVERE,PUBLIC PROPERTY,2024-03-24
322,M9P,CHUKIS/COOKIE,BERNESE MTN DOG / AMER BULLDOG,BROWN,01,Etobicoke North,NON SEVERE,OTHER PRIVATE PROPERTY,2024-03-28
323,M4L,NIKKI,GERM SHEPHERD,BLACK / TAN,19,Beaches-East York,SEVERE,OWNERS PROPERTY,2024-04-13
324,M9C,NELO,LABRADOR RETR / AMER BULLDOG,TAN,02,Etobicoke Centre,SEVERE,PUBLIC PROPERTY,2024-04-30
325,M6K,BULLET,STAFFORDSHIRE MIX,TAN / WHITE,04,Parkdale-High Park,SEVERE,OTHER PRIVATE PROPERTY,2024-05-01
326,M9C,MAGGIE,GERM SHEPHERD,BLACK / TAN,02,Etobicoke Centre,VERY SEVERE,PUBLIC PROPERTY,2024-05-04
327,M6B,SHADOW,AMER BULLDOG,GREY,08,Eglinton-Lawrence,SEVERE,PARK - LEASH REQUIRED AREA,2024-05-04
328,M9P,ASTON,DOBERMAN PINSCH,BLACK / TAN,02,Etobicoke Centre,SEVERE,PUBLIC PROPERTY,2024-05-06
329,M9N,LUCKY,AMER BULLDOG,GREY / WHITE,05,York South-Weston,VERY SEVERE,OTHER PRIVATE PROPERTY,2024-05-07
330,M1B,WICK,AMER BULLDOG / ENG BULLDOG,BLUE,23,Scarborough North,NON SEVERE,PARK - LEASH REQUIRED AREA,2024-05-16
331,M1C,DIAMOND,MASTIFF MIX,BLACK / WHITE,25,Scarborough-Rouge Park,SEVERE,PUBLIC PROPERTY,2024-05-21
332,M1C,MALOTTO,AMER BULLDOG,WHITE / BROWN,25,Scarborough-Rouge Park,SEVERE,PUBLIC PROPERTY,2024-05-21
333,M6S,ELSA,ROTTWEILER MIX,BLACK / TAN,04,Parkdale-High Park,SEVERE,OTHER PRIVATE PROPERTY,2024-05-23
334,M6B,ACE,AM PIT BULL TER / ENG BULLDOG,BLACK / WHITE,08,Eglinton-Lawrence,SEVERE,PUBLIC PROPERTY,2024-05-27
335,M6K,ONYX,AMER BULLDOG,BLACK / WHITE,10,Spadina-Fort York,NON SEVERE,PARK - LEASH FREE AREA,2024-06-01
336,M1E,REGGIE,GERM SHEPHERD MIX,BLACK / BROWN,25,Scarborough-Rouge Park,SEVERE,PUBLIC PROPERTY,2024-06-01
337,M6G,HENNY,AMER BULLDOG,FAWN,11,University-Rosedale,SEVERE,PUBLIC PROPERTY,2024-06-02
338,M4N,PENNY,BERNESE MTN DOG / POODLE STND,BLACK / WHITE,15,Don Valley West,NON SEVERE,PUBLIC PROPERTY,2024-06-06
339,M1N,ZEUS,AMER BULLDOG,WHITE / TAN,20,Scarborough Southwest,NON SEVERE,PARK - LEASH REQUIRED AREA,2024-06-12
340,M1T,NIPSEY,AMER BULLDOG / LABRADOR RETR,BROWN,22,Scarborough-Agincourt,NON SEVERE,OTHER PRIVATE PROPERTY,2024-06-19
341,M6J,ZELOS,AMER BULLDOG,BLACK / WHITE,09,Davenport,SEVERE,OTHER PRIVATE PROPERTY,2024-06-24
342,No FSA Info,UNKNOWN,UNKNOWN,UNKNOWN,00,No Ward Info,NON SEVERE,OTHER PRIVATE PROPERTY,2024-06-28
343,M9W,ARROW,RHOD RIDGEBACK / AMER BULLDOG,BROWN / WHITE,01,Etobicoke North,SEVERE,PUBLIC PROPERTY,2024-07-01
344,M5M,RYDER,SIBERIAN HUSKY MIX,WHITE,08,Eglinton-Lawrence,SEVERE,OWNERS PROPERTY,2024-07-05
345,M9R,IRIS,GERM SHEPHERD,BLACK / TAN,02,Etobicoke Centre,NON SEVERE,PUBLIC PROPERTY,2024-07-06
346,M1E,SCOTIA,AMER BULLDOG / ENG BULLDOG,GREY,25,Scarborough-Rouge Park,NON SEVERE,OTHER PRIVATE PROPERTY,2024-07-07
347,M1M,FLY,GERM SHEPHERD,BROWN / BLACK,20,Scarborough Southwest,NON SEVERE,OTHER PRIVATE PROPERTY,2024-07-15
348,M8X,EGON,BULL TERRIER,WHITE,03,Etobicoke-Lakeshore,NON SEVERE,PUBLIC PROPERTY,2024-07-22
349,M1V,SKY,MALTESE,WHITE,22,Scarborough-Agincourt,NON SEVERE,PUBLIC PROPERTY,2024-07-25
350,M1N,ZACH,BULLMASTIFF / AMER BULLDOG,TAN,20,Scarborough Southwest,SEVERE,PUBLIC PROPERTY,2024-08-06
351,M1E,DEXTER,GREAT DANE / PRESA CANARIO,BR BRINDLE / WHITE,25,Scarborough-Rouge Park,SEVERE,PUBLIC PROPERTY,2024-08-11
352,M2J,KALI,IRISH WOLFHOUND,BLACK / GREY,17,Don Valley North,SEVERE,PUBLIC PROPERTY,2024-08-12
353,M1R,TONKA,AMER BULLDOG / AMERICAN STAFF,BROWN / BLACK,21,Scarborough Centre,NON SEVERE,PUBLIC PROPERTY,2024-08-13
354,M2H,TORRO,GERM SHEPHERD,BLACK,17,Don Valley North,NON SEVERE,PUBLIC PROPERTY,2024-09-14
355,M2H,TATIANA,GERM SHEPHERD,BLACK,17,Don Valley North,NON SEVERE,PUBLIC PROPERTY,2024-09-14
356,M2H,LUNA,GERM SHEPHERD,BLACK,17,Don Valley North,NON SEVERE,PUBLIC PROPERTY,2024-09-14
357,M1W,LUNA,AM PIT BULL TER / ENG BULLDOG,BLACK / TRICOLOUR,22,Scarborough-Agincourt,NOT A BITE,OTHER PRIVATE PROPERTY,2024-02-05
